text,HATE,NOT,OFFN,PRFN,Race,Religion,Gender,Other,None,subtask1
sesso gratis mature sexy celeb feet free big movies lokal saxy video white halter bikini top,0,1,0,1,0,0,0,0,1,NOT
no to boys only gays,0,1,0,1,0,0,0,0,1,NOT
enie meenie minnie mo catch a niggar by his toe huh oh is it sposed to be tigar my bad,0,0,1,1,1,0,0,0,0,OFFN
when moslems flee moslem countries do not that make them islamophobic,0,1,0,1,0,0,0,0,1,NOT
if there was a muslim terror attack in the west that happened before trump announced his campaign it would disprove this guy hypothesis ok it was hard but i found several turns out obama trudeau merkel hollande and others all spread hate and division,0,1,0,1,0,1,0,0,0,NOT
when are you going to be on trs or another podcast you filthly zipperhead,1,0,0,0,1,0,0,0,0,HATE
shlomo for a small fee i can help you stop shilling like a tay sachs ghetto jew peddling fake diamonds out of a rag cart here a freebie turn off the projection it like a giant star of david bat signal,0,0,1,0,0,1,0,0,0,OFFN
my supervisor is a fucking coon i have a white kid telling other kids that they are acting like niggers and he doing nothing about it,1,0,0,1,1,0,0,0,0,HATE
good morning everyone except illegal aliens and avocados,0,0,1,0,0,0,0,1,0,OFFN
a god dam kike only thinks about sucking babydicks and making believe they holy,1,0,0,1,0,1,0,0,0,HATE
the majority of tg women are prettier than cis women these acts of violence against tg women has got to stop,0,1,0,1,0,0,0,0,0,NOT
i hate them off white belts,0,1,0,0,0,0,0,0,1,NOT
damn he a homo too not surprising israel is full of queers,0,0,1,1,0,0,1,0,0,OFFN
sub dispshit the gender queers almosy unanimously align with the other side hence why i said i am happy to fight them slow down and think a little bit before you respond tends to help,0,1,0,1,0,0,0,0,1,NOT
budweiser sees no difference between white immigrant adolphus busch and jihadis who would destroy america i see the difference boycottbud,0,0,1,1,0,1,0,0,0,OFFN
where where are all the whites and asians doing the car jackings home invasions muggings and random shootings this is why nobody trusts negros and nobody wants them around asians and mexicans hate blacks more than whites do,1,0,0,1,1,0,0,0,0,HATE
i am not too worried about chinese migration its the mudslime one that bothers me,1,0,0,1,0,1,0,0,0,HATE
