text,HATE,NOT,OFFN,PRFN,Race,Religion,Gender,Other,None
"['the', 'rosacea', 'disorder', 'can', 'be', 'confused', 'with', 'and', 'co', 'exist', 'with', 'acne', 'vulgaris', 'and', 'or', 'seborrhoeic', 'dermatitis']",0,1,0,1,0,0,0,0,1
"['hi', 'another', 'refugee', 'from', 'twit', 'i', 'just', 'got', 'shoahed', 'username', 'was', 'msmlies']",1,0,1,1,0,1,0,1,0
"['and', 'now', 'your', 'heart', 'breaks', 'for', 'this', 'fucking', 'nigger', 'when', 'these', 'same', 'niggers', 'are', 'destroying', 'your', 'country', 'fuck', 'you', 'you', 'phony', 'cocksucker']",1,0,0,1,1,0,0,0,0
"['if', 'that', 'nigger', 'got', 'one', 'he', 'deserves', 'one']",1,0,1,1,1,0,0,0,0
"['i', 'argued', 'with', 'him', 'against', 'sending', 'troops', 'and', 'money', 'to', 'shithole', 'africa', 'he', 'all', 'kumbaya', 'over', 'saving', 'africans', 'from', 'muzzies', 'and', 'thinks', 'we', 'have', 'to', 'do', 'it', 'i', 'called', 'bulshit']",1,0,0,1,1,1,0,1,0
"['our', 'free', 'speech', 'is', 'starting', 'to', 'go', 'too', 'in', 'little', 'ways', 'trying', 'to', 'make', 'people', 'think', 'it', 'is', 'for', 'good', 'hurt', 'feelings', 'or', 'inciting', 'violence', 'bullsht', 'unfortunately', 'many', 'people', 'do', 'not', 'see', 'it']",0,1,0,1,0,0,1,0,1
"['racist', 'nigger', 'plays', 'the', 'race', 'card', 'again', 'he', 'the', 'biggest', 'crybaby', 'piece', 'of', 'shit', 'alive', 'makes', 'sharpton', 'and', 'jackson', 'look', 'good']",1,0,0,1,1,0,0,0,0
"['already', 'millions', 'looking', 'at', 'him', 'saying', 'he', 'is', 'a', 'kike', 'shill', 'moron', 'he', 'out', 'in']",1,0,0,1,0,1,0,0,0
"['gab', 'has', 'all', 'the', 'bot', 'driving', 'up', 'retarded', 'post', 'about', 'hollywood', 'fake', 'actors', 'meanwhile', 'the', 'migrant', 'caravan', 'invasion', 'is', 'nowhere', 'to', 'be', 'found', 'after', 'everything', 'we', 'have', 'been', 'through', 'you', 'would', 'think', 'we', 'could', 'spot', 'censorship', 'nope', 'same', 'bat', 'channel', 'same', 'bat', 'time', 'gab', 'looks', 'just', 'like', 'twitter', 'right', 'now']",1,0,1,1,0,0,0,1,1
"['ignore', 'them', 'bro', 'you', 'know', 'how', 'seth', 'fanbase', 'are', 'toxic', 'and', 'retarded', 'with', 'no', 'thoughts', 'actually', 'going', 'into', 'what', 'they', 'say']",0,1,1,1,0,0,0,0,1
"['unable', 'to', 'speak', 'for', 'himself', 'faggots', 'always', 'fall', 'back', 'to', 'stale', 'memes']",1,0,1,1,0,0,1,0,1
"['in', 'china', 'muslim', 'have', 'special', 'id', 'card', 'and', 'they', 'not', 'allow', 'travel', 'around', 'where', 'they', 'want', 'to', 'goes', 'it', 'great']",0,0,1,1,0,1,0,0,0
"['it', 'is', 'deeply', 'sad', 'times', 'to', 'be', 'a', 'white', 'european', 'loving', 'your', 'continent', 'culture', 'both', 'are', 'being', 'handed', 'over', 'to', 'savages', 'moslem', 'invaders', 'and', 'you', 'have', 'to', 'be', 'on', 'your', 'knee', 'loving', 'respecting', 'them']",1,0,0,1,0,1,0,1,0
"['how', 'to', 'describe', 'hypocrisy', 'all', 'the', 'folks', 'calling', 'on', 'trump', 'to', 'call', 'out', 'white', 'nationalism', 'had', 'not', 'been', 'able', 'to', 'call', 'out', 'antifa', 'blm', 'islamicterror', 'how', 'worse', 'can', 'their', 'hypocrisy', 'be']",0,0,1,1,1,1,0,1,0
"['ya', 'it', 'getting', 'hard', 'to', 'normally', 'function', 'in', 'many', 'towns', 'anymore', 'with', 'this', 'ghetto', 'mentality', 'going', 'on', 'everywhere']",0,1,1,0,1,0,0,0,1
"['my', 'dad', 'calls', 'kids', 'on', 'the', 'block', 'niggers', 'with', 'the', 'hard', 'r', 'like', 'he', 'not', 'darker', 'than', 'asphalt']",1,0,1,1,1,0,0,0,0
"['erase', 'islam', 'from', 'history', 'hold', 'them', 'accountable', 'maga', 'is', 'simple', 'no']",1,0,0,1,0,1,0,0,0
"['ahurt', 'tge', 'frick', 'up', 'little', 'gril', 'you', 'and', 'ur', 'kpoop', 'so', 'gay', 'guacamole', 'andgerr', 'angr', 'whip', 'angrrnae', 'nae']",0,1,1,1,0,0,1,0,0
"['also', 'the', 'nigger', 'she', 'boon', 'niglet', 'generators', 'ebt', 'medicare', 'public', 'housing', 'public', 'transportation', 'subsidies', 'crime', 'costs', 'educational', 'costs', 'societal', 'decay', 'etc']",1,0,0,1,1,0,0,0,0
"['a', 'worthless', 'nigger', 'who', 'sold', 'out', 'to', 'globalists', 'because', 'nobody', 'took', 'him', 'seriously', 'as', 'a', 'statesman', 'now', 'he', 'just', 'a', 'whining', 'defeated', 'has', 'been']",1,0,0,1,1,0,0,0,0
"['or', 'perhaps', 'chinese', 'or', 'nepalese', 'it', 'a', 'horrible', 'insult', 'really', 'they', 'can', 'not', 'say', 'muslim', 'because', 'they', 'know', 'it', 'muslim', 'culture', 'to', 'rape', 'children']",1,0,1,1,1,1,0,0,0
"['some', 'feminists', 'say', 'that', 'women', 'work', 'harder', 'than', 'men', 'for', 'less', 'pay', 'reward', 'so', 'instead', 'of', 'taking', 'the', 'day', 'off', 'would', 'not', 'it', 'make', 'more', 'sense', 'to', 'emphasize', 'the', 'point', 'by', 'working', 'later', 'than', 'usual', 'say', 'pm']",0,1,1,0,0,0,1,0,0
"['if', 'she', 'truly', 'was', 'a', 'moslem', 'woman', 'she', 'would', 'have', 'cut', 'off', 'the', 'tranny', 'head']",1,0,1,1,0,1,1,1,0
"['substitute', 'jews', 'for', 'muslims', 'and', 'i', 'd', 'agree']",1,0,1,1,0,1,1,0,0
"['remember', 'nelson', 'mandela', 'is', 'a', 'white', 'guy']",0,1,1,0,1,0,1,0,1
"['disney', 'also', 'made', 'the', 'shopkeeper', 'gay', 'in', 'frozen', 'look', 'for', 'when', 'the', 'shopkeeper', 'says', 'hi', 'to', 'his', 'family', 'who', 'are', 'in', 'a', 'sauna', 'or', 'something', 'since', 'eisner', 'took', 'over', 'neo', 'disney', 'has', 'been', 'defiling', 'children', 'entertainment', 'by', 'pushing', 'jewish', 'cult', 'marxist', 'themes', 'in', 'movies', 'and', 'shows', 'boycott']",0,0,1,1,0,1,1,0,0
"['it', 'not', 'a', 'psyop', 'if', 'it', 'the', 'truth', 'tommy', 'robinson', 'is', 'a', 'kike', 'shill', 'let', 'him', 'rot']",1,0,0,1,0,1,0,0,0
"['or', 'that', 'face', 'you', 'make', 'when', 'your', 'peruvian', 'bitch', 'blows', 'your', 'dick', 'like', 'a', 'pan', 'flute']",1,0,1,1,1,0,1,0,1
"['one', 'of', 'my', 'old', 'hoes', 'hit', 'my', 'phone', 'and', 'he', 'really', 'think', 'he', 'slick', 'sir', 'it', 'been', 'months', 'i', 'am', 'tryna', 'link', 'tho']",0,1,0,1,0,0,1,0,1
"['i', 'like', 'it', 'i', 'can', 'not', 'wait', 'to', 'watch', 'the', 'kike', 'dem', 'leadership', 'attempt', 'to', 'figure', 'out', 'who', 'to', 'run', 'in', 'that', 'will', 'not', 'completely', 'piss', 'off', 'either', 'blacks', 'or', 'squatamalans', 'it', 'keith', 'elison', 'v', 'tom', 'perez', 'times', 'one', 'billion']",0,0,1,1,1,1,0,1,0
"['sir', 'refugee', 'with', 'refugee', 'card', 'donot', 'face', 'any', 'issue', 'issue', 'here', 'is', 'of', 'illegal', 'immigrants', 'they', 'can', 'not', 'continue', 'living', 'just', 'because', 'they', 'are', 'a', 'vote', 'bank', 'if', 'they', 'want', 'to', 'be', 'refugee', 'in', 'india', 'there', 'is', 'no', 'issue', 'there', 'is', 'law', 'of', 'the', 'land', 'and', 'we', 'should', 'reapect', 'that']",0,1,0,1,0,0,0,0,1
"['we', 'have', 'million', 'invaders', 'and', 'refugees', 'work', 'hard', 'for', 'them']",0,1,1,0,0,0,1,1,1
